_id,student_roll,subject_id,pt1,pt2,assignment,semester_grade,updated_by
69c20f21e33d09dec838a2c2,23CSE02,69c20f21e33d09dec838a1c2,19,16,9,O,faculty.cse@bitsathy.ac.in
69c20f21e33d09dec838a2c4,23CSE03,69c20f21e33d09dec838a1c1,16,22,5,O,faculty.cse@bitsathy.ac.in
69c20f21e33d09dec838a2ca,23CSE05,69c20f21e33d09dec838a1c1,23,19,6,B,faculty.cse@bitsathy.ac.in
69c20f21e33d09dec838a303,23IT04,69c20f21e33d09dec838a1d9,17,22,9,A,faculty.it@bitsathy.ac.in
69c20f21e33d09dec838a2fe,23IT02,69c20f21e33d09dec838a1da,20,16,5,A+,faculty.it@bitsathy.ac.in
69c20f21e33d09dec838a306,23IT05,69c20f21e33d09dec838a1d9,21,18,6,A+,faculty.it@bitsathy.ac.in
69c20f21e33d09dec838a2bf,23CSE01,69c20f21e33d09dec838a1c2,24,21,8,A,faculty.cse@bitsathy.ac.in
69c20f21e33d09dec838a379,23CB03,69c20f21e33d09dec838a20a,27,33,79,A,faculty.cb@bitsathy.ac.in
69c20f21e33d09dec838a2cb,23CSE05,69c20f21e33d09dec838a1c2,18,18,9,A+,faculty.cse@bitsathy.ac.in
69c20f21e33d09dec838a37b,23CB04,69c20f21e33d09dec838a209,42,36,97,S,faculty.cb@bitsathy.ac.in
69c20f21e33d09dec838a300,23IT03,69c20f21e33d09dec838a1d9,27,25,5,A,mentor.it@bitsathy.ac.in
69c20f21e33d09dec838a301,23IT03,69c20f21e33d09dec838a1da,37,27,6,B,mentor.it@bitsathy.ac.in
69c20f21e33d09dec838a304,23IT04,69c20f21e33d09dec838a1da,18,18,8,A,faculty.it@bitsathy.ac.in
69c20f21e33d09dec838a375,23CB02,69c20f21e33d09dec838a209,36,28,90,A,faculty.cb@bitsathy.ac.in
69c20f21e33d09dec838a37f,23CB05,69c20f21e33d09dec838a20a,32,44,88,A,faculty.cb@bitsathy.ac.in
69c20f21e33d09dec838a2c5,23CSE03,69c20f21e33d09dec838a1c2,22,21,7,A,faculty.cse@bitsathy.ac.in
69c20f21e33d09dec838a2c7,23CSE04,69c20f21e33d09dec838a1c1,23,22,6,B,faculty.cse@bitsathy.ac.in
69c20f21e33d09dec838a37e,23CB05,69c20f21e33d09dec838a209,29,46,79,A,faculty.cb@bitsathy.ac.in
69c20f21e33d09dec838a373,23CB01,69c20f21e33d09dec838a20a,25,29,98,B,faculty.cb@bitsathy.ac.in
69c20f21e33d09dec838a2fb,23IT01,69c20f21e33d09dec838a1da,24,16,6,A,faculty.it@bitsathy.ac.in
69c20f21e33d09dec838a378,23CB03,69c20f21e33d09dec838a209,46,27,77,A,faculty.cb@bitsathy.ac.in
69c20f21e33d09dec838a2be,23CSE01,69c20f21e33d09dec838a1c1,19,22,6,B+,faculty.cse@bitsathy.ac.in
69c20f21e33d09dec838a307,23IT05,69c20f21e33d09dec838a1da,18,18,8,B+,faculty.it@bitsathy.ac.in
69c20f21e33d09dec838a372,23CB01,69c20f21e33d09dec838a209,39,33,98,A,faculty.cb@bitsathy.ac.in
69c20f21e33d09dec838a376,23CB02,69c20f21e33d09dec838a20a,32,25,88,B,faculty.cb@bitsathy.ac.in
69c20f21e33d09dec838a2c8,23CSE04,69c20f21e33d09dec838a1c2,17,18,5,O,faculty.cse@bitsathy.ac.in
69c20f21e33d09dec838a2c1,23CSE02,69c20f21e33d09dec838a1c1,23,22,7,O,faculty.cse@bitsathy.ac.in
69c20f21e33d09dec838a2fd,23IT02,69c20f21e33d09dec838a1d9,20,16,7,O,faculty.it@bitsathy.ac.in
69c20f21e33d09dec838a37c,23CB04,69c20f21e33d09dec838a20a,33,47,90,S,faculty.cb@bitsathy.ac.in
69c20f21e33d09dec838a2fa,23IT01,69c20f21e33d09dec838a1d9,22,15,8,A+,faculty.it@bitsathy.ac.in
69c21248e9845089788d4a45,23CSE01,69c20f21e33d09dec838a1bb,24,21,5,A,faculty.cse@bitsathy.ac.in
69c21248e9845089788d4a48,23CSE01,69c20f21e33d09dec838a1bc,24,16,6,A,faculty.cse@bitsathy.ac.in
69c2124ae9845089788d4a7b,23CSE04,69c20f21e33d09dec838a1bb,19,16,5,A,faculty.cse@bitsathy.ac.in
69c2124ae9845089788d4a7e,23CSE04,69c20f21e33d09dec838a1bc,15,18,6,A,faculty.cse@bitsathy.ac.in
69c2124ae9845089788d4a8d,23CSE05,69c20f21e33d09dec838a1bb,17,17,6,A,faculty.cse@bitsathy.ac.in
69c2124ae9845089788d4a90,23CSE05,69c20f21e33d09dec838a1bc,18,17,8,A,faculty.cse@bitsathy.ac.in
